english,hindi
San Antonio concerts in January,San Antonio me January me संगीत कार्यक्रम
"If Jason leaves work now and stops by my house for 10 minutes , what time will he be at my parents house ?",Agar Jason काम se अभि निकले मैं और 10 मिनट के लिये mere घर पी.ई रूके to क्या time par wo mere अभिभावक के घर par hoga ?
play Stevie Wonder play list,Stevie Wonder की play list ko बजाओ
Find music events in Montreal this weekend,Montreal me is weekend music आयोजन ko खोजे
Is it going to rain for more than 4 hours today ?,क्या आज 4 घंटे se ज़ियादा बारिश होगी ?
"What is the weather in Washington , DC ?","Washington , डीसी me weather केसा he ?"
Shh,Shh
Delete alarm for tomorrow at 8 : 00 am .,कल शुभा 8 am के लिये alarm ko hatado .
make an alarm for Monday at 10 am,Monday 10 am के लिये इक alarm बनायें
update that alarm,Alarm ko update करे
When should I leave to make it to my 11 am meeting ?,Muje मेरी 11 am की meeting me jane के लिये कब निकलना चाहिए ?
Play music,music play karo
Play all rap music on my iTunes,mere ई धुन par सभी rap music ko play karo
I want to hear some classic rock,मुझे कुछ classic rock सुन्ना है
Can you change my alarm for me,Kya एएपी mere लिये mere alarm ko change करे कृपया he
Tell me the weather right now,मुझे अभि weather के bare मेई बोलिये
Message Zoe . Party at Lily's house .,Zoe ko message किजिये की . Party at लिली का house .
Delete today ' s reminder for the baseball game,baseball game के लिये आज ka reminder delete करे
What time is it supposed to rain this evening ?,ए जे शाम ko कितने बाझे barish hone वली है
set my alarm for 11 am on saturday,Saturday subah 11 बाझे के लिये alarm set करिये
What was last week ' s average temperature,Last week ka average temperature क्या tha
Any good concerts tonight,क्या ए जे koi ache संगीत कार्यक्रम है
Ask Laura if I forgot my sweater at her house,Laura se पुछिये agar माई मेरी sweater uske घर mein भुलगया hoon
what time will it rain today,आज कितने बाजे बारिश होगी
Ask Jordan to come over on my birthday,Jordan ko पुछिये to come over on my birthday
Make an alarm for Saturday at 3,Saturday 3 बाझे के लिये alarm बनाओ
I want an alarm on June 6 please .,please June 6 ko मुझे इक alarm चाहिए .
Will it rain in Flagstaff today ?,Kya आज Flagstaff me बारिश होगी ?
Is there a timer already going ?,क्या koi timer पहले se चालराहा है ?
What ' s the weather like Granada Hills,Granada Hills मेई weather कैसा है
Play top Rock Chart,Top Rock chart ko play करे
Alarm set for every morning at 6 am,Har subah 6 बाजे के लिये alarm set करे
Can you remind me I am due for a tetanus shot on decmeber,क्या एएपी मुझे याद दिला कृपया है की दिसंबर me मुझे इक tetanus shot लेना बाकी है
Create list of favorite songs .,Favorite गीत की list बनाये .
Pause music,Music ko pause करे
Set a reminder for Fred to pick up dog food tonight .,Aj Fred के लिये dog food pick करने के लिये reminder set करे
Message the Facebook thread and say I can ' t wait to see The Equalizer 2,Facebook thread ko message करे मैं और काहे की I can ' t wait to see The Equalizer 2
put the song on hold,song ko hold par राखो
Is Traffic busy in Phoenix Arizona right now,क्या Phoenix Arizona mein is वक्त Traffic ज़ैदा है
which way is toll free to the city,City के लिये कौन sa रास्ता toll free है
on saturday the 28th remind me about brewsters,Saturday ko 28th par मुझे शराब बनाने वाले के बारेय me remind कराए
Is there any flooding on the highway from the rain last night ?,क्या कल रात की barish se highway par koi बाद आई है
Is there a hurricane developing near Florida,Florida के पास koi तूफ़ान ban राहा है
I want to see a concert near me tomorrow,Me कल mere आस पास के संगीत कार्यक्रम देखना चाहता हू
How warm is it outside right now ?,Abhi बहार कितनी गरमी है ?
Are the roads icy this evening ?,क्या ए जे शाम सड़कें barfeley है
Add 15 minutes to that alarm,Us alarm me 15 मिनट ko add किजिये
Let ' s check out who messaged me .,आओ देखते हैं है मुझे किसने message किआ
set one timer for Dia and one for Aashna,इक timer Dia के लिये set karo मैं और इक Aashna के लिये
Is there rain in the forecast for Seattle on Monday afternoon ?,Kya Seattle के forecast me सोमवार afternoon के लिये बारिश he ?
Cancel all alarms,सभी एलार्म cancel कार्डो
Remind me that I need more time,Mujhe याद दिलायें की मुझे मैं और वक्त चाहिए
Will I get wet in the rain this afternoon ?,Is दोपहर ko क्या माई बारिश me भीग जाओंगा ?
how many hours is a flight to toronto from new york,New York se toronto तक flight कितने घंटे की he
Please tell me the traffic going to New York,please मुझे New York जाने wale traffic के बारे में me बतायें
What ' s the traffic from Sweetwater to Lenoir City like,Sweetwater se Lenoir City तक ka traffic कैसा है
what times do i have an alarm set for,Mere pass कितने बाजे के लिये alarm set he
is it snowing outside,Kya bahar बर्फ गिर रही है ho राही he
I am baking some good chocolate chip cookies and I want you to set the timer for 25 minutes .,Me कुछ achii chocolate chip कुकीज़ baking कर राहा हू तो me चाहता हू की एएपी 25 मिनट के लिये timer set करे .
Is it raining at Disney World right now,Kya Disney World me अभि बारिश होराही है ?
Set my alarm for 8 am,mere alarm ko subah 8 बाझे के लिये set करे
How much rain is expected this week ?,Is हफ़्ता कितनी barish अपेक्षित है ?
Text Ashley cancel the plans tomorrow,Ashley ko text karo की कल के की योजना cancel कार्डो
How long will it take me to get to Congonhas Airport from here if I leave now ?,agar माई अभि घर se निकल्टा hoon तो मुझे हाँ se Congonhas Airport पहुचने mein कितना time लगेगा ?
Remind me to wake up early on August 5th,Muje August 5th ko जल्दी उथने के लिये remind कराए
set up a new alarm for Monday at 3 pm,Monday 3 बजे के लिये इक नाय alarm ko set करेन
Don ' t play this song again,ye song ko दुबारा mat बजाओ
Repeat an alarm for every Wednesday at 5 pm,हर Wednesday sham 5 बाझे के लिये alarm repeat करे
How long before the interstate will re - open,interstate पहले कब तक खुलेगा
have an alarm go off at 2 pm and 4 pm,दोपहर 2 बाझे मैं और sham 4 बाझे के लिये alarm band कर de
delete my alarm for 4 : 30 pm,4:30 बजे ka मेरा alarm delete करे
message Paul that go to sleep .,Paul ko message karo की go to sleep .
Pause timer,timer ko pause करे
Display weather in helsinki .,हेलसिंकी ka मौसम दिखायें
"what is the new Lady Gaga song , will you please play it ?","Lady Gaga ka नया गाना कौन्सा है , क्या एपी play सुस्त please ?"
Message mom and let her know there is a 2 hour delay on I - 40,माँ ko message karo मैं और बताओ की I - 40 par 2 ghanton ka delay hoga
Reset alarm for 30 minutes,alarm ko 30 मिनट के लिये reset करे
What is fun for a family of five to do on Sunday,पाँच प्रतीक चिन्ह के family के लिये रविवार ko क्या कर्ण मजेदार है
Get rid of my reminder to vacuum the carpet upstairs today .,Aaj ही ऊपर के carpet ko निर्वात करने के लिये mere reminder se छुटकारा पायें
Set the alarm for 4 : 10 am,4:10 am ka alarm set करे
reset my alarm for 7 pm everyday,Mere alarm ko हर रोज़ 7 बजे के लिये reset करे
"Tell Chris I ' m running a few minutes late , but should be in Portland by 10 .","Chris ko बोलिये की I ' m running a few मिनट late , मगर Portland mein 10 बाझे तक पाहुच जाउंगा"
things to do today,Aaj करने के लिये चीज
Are there any good concerts in Tuscaloosa this weekend,Is weekend क्या Tuscaloosa me koi ache संगीत कार्यक्रम है
Where are traffic back - ups the worst,सबसे ख़राब traffic back - ऊपर kaha है
cancel my reminder for 12 pm 31st dec 2017,mere 31st दिसम्बर 2017 के 12 बजे के reminder ko cancel करें
Please remind me to send all my English assignments by 8 : 00 PM Tuesday .,Please मुझे मंगलवार 8:00 बजे तक mere सारे English कार्य भेजने के लिये याद दिलायें .
Is it cold,क्या ठंडा he
Show me any reminders that I have regarding gardening,Mere सारे gardening के अनुस्मारक मुझे दिखाये
set a timer for 15 mins of running,running के लिये 15 मिनट ka timer set करे
play that album again,Wo album ko फिर se बजाओ
movie premiers in LA this weekend,Is weekend LA me movie प्रधानमंत्री he
Tell Rodger that Jamie will be to pick them up Friday night at 7,Rodger ko ye बोलेन की Jamie will be to pick them up Friday night at 7
Create an alarm on Sunday for 1 pm for two weeks .,Sunday ko 1 बजे ka alarm बनाये for two हफ्तों .
"Set two alarms at 3 pm , one today and one tomorrow .","3 बजे ko do एलार्म set करेन , इक आज मैं और इक कल ."
how hot is it today,ए जे कितनी गरमी है
Remind me to pay my bill a week before the 15th,15th se इक week पहले मुझे mere bill pay करने के लिये remind कराए
When is hurricane season,तूफ़ान ka season कब है
anything fun happening this weekend please,क्या is weekend कुछ मजेदार hone वाला है please
Play music,music बजाओ
What kind of weather will we get at 6 am ?,subah 6 बाझे मौसम किस ताराह ka hone वाला है
What ' s the weather doing this afternoon .,Is दोपहर ko मौसम कैसा है
"Festival of Lights at the Hamburg Fairgrounds , dates and times",Hamburg Fairgrounds me Festival of Lights के खजूर and times
can i have the forecast for Thursday,Kya मुझे गुरुवार के लिये forecast mil sakta he
Skip to the last song .,Last song तक skip करे
remind me that friday is my day to take out the trash,Muje remind कराए की शुक्रवार is my day to take out the trash
What Christmas movies are showing tonight,ए जे रा t कौनसे Christmas चलचित्र दिखा रहे है
Please play Led Zeppelin .,Please Led Zeppelin play किजिये .
remind me to get orange juice,Muje remind कराए to get orange juice
I want to listen to Journey ' s last album .,Mujhe Journey ka last album सुन्ना है .
What are the toll roads like right now,अभि toll सड़कें कैसे है
Go back to the beginning of this song .,is song के beginning me वापीस जाइए .
Text my daughter and tell her to wash the dishes,Meri बेटी ko message karo मैं और bolo की बार्टन सफ़ karo
are the roads clear,क्या सड़कें सफ़ है
What ' s going on in Raleigh next week,Raleigh me next week क्या ho राहा he
schedule a 6 am alarm call for tomorrow,Subah 6 बाजे के alarm call ko कल के लिये schedule करे
Can I have an alarm for Friday July 20,Kya me शुक्रवार July 20 के लिये alarm लगा sakta हू
set wake up time in 20 minutes,20 मिनट me जगने के लिये time ko set किजिये
Can you tell me the 5 - day forecast ?,क्या एपी मुझे 5 - day forecast बोलिंगे
What ' s going on for December,December के लिये क्या chal राहा है
Tell me the weather now thanks,Mujhe अभि मौसम बताओ thanks
set an alarm for 30 minutes from now,Abhi se 30 मिनट के लिये इक alarm set करेन
add 5 more minutes to timer,Timer me मैं और 5 मिनट ko add करे
set timer for 30 mins,timer ko 30 मिनट के लिये set करे
Add another minute to the timer,Timer me इक मैं और minute ko add करे
message kaeleigh that the pet adoption event is on Sunday at petsmart from 1 - 3,कैलीघ ko message karo की the pet adoption event is on Sunday at petsmart from 1 - 3
Show me the detail for my Thursday dinner reminder,Muje mere Thursday के dinner reminder के लिये detail दिखाइये
Remind me of my doctors appointment at 10 : 15 Wednesday,मुझे Wednesday at 10 : 15 mere doctor के appointment के लिये याद दिलाये
Deep sea fishing near San Diego in October,October me San Diego के near Deep sea fishing
create a work alarm called meeting,meeting naam के इक work alarm ko create karo
Has the traffic jam around exit 14 cleared up,Kya exit 14 के आस पास ka traffic jam clear ho गया he
"Make an alarm for 7 am on 12th , 13th and 14th May","subah 7 बाझे के लिये 12th , 13th मैं और 14th May के लिये alarm बनाये"
How ' s the traffic driving from Miami to ft lauderdale,Miami se फुट Lauderdale driving कार्टे samay traffic कैसी है
Create alarm called ' wake up ' at 6 am tomorrow .,wake up naam se इक alarm बनाओ कल subah 6 बाझे के लिये
snooze alarm please,alarm ko snooze करे please
How much time will detours add to my commute to my mom ' s house if I leave tomorrow morning at 8 am ?,agar माई कल शुभा 8 am ko निकल jaoon to mere commute se मेरी माँ के घर जाने me कितना samay add hoga ?
Remind me to buy mom a birthday present Tuesday at noon,Mujhe Tuesday दोपहर ko माँ ko इक birthday present खरीदने के लिये याद दिलायें
Text to respond the message .,message ko respond करने के लिये text करे
The highest temperature of today ?,ए जे ka highest temperature क्या है ?
I need to set an every minute on the minute timer,मुझे minute timer par हर इक minute set कर्ण चाहिए
Do I need a raincoat today ?,Kya आज मुझे raincoat की ज़रुरत है ?
Please tell me current traffic,please मुझे current traffic बताइये
Let me see my reminders,मुझे mere अनुस्मारक देखिये do
reset my timer,mere timer ko reset करे
Turn off all my alarms,mere सारे एलार्म off कार्डो
When can I go see Mana play in Dallas,Mai Dallas me Mana play देखिये कब jasakta हू
Cancel Friday ' s payday reminder,Friday के payday reminder ko cancel किजिये
What is the forecast for the next three days ?,agley teen din ka forecast क्या है
"Video message , please",Please video message भेजे
Are there any music festivals in Atlanta this summer,Kya Atlanta me is summer par koi music त्योहारों he
Put an alarm on for 6 am,6 am के लिये alarm लागाओ
create gym alarm,gym की alarm बनाओ
Set a timer to go off every 90 seconds,हर 90 second मेई band hone के लिये timer set करे
is traffic heavy today on I 95 north in georgia,क्या ए जे जॉर्जिया मेई I 95 north par traffic ज़ैदा है
If I take I - 35 from Norman when will I arrive at the Oklahoma City Thunder game ?,Agar me Norman se I - 35 लेटा हू to me Oklahoma City Thunder game par कब पोहचुंगा ?
Do you think there will be traffic on the weekend,क्या एपीको लगता है है की is weekend traffic रहेगा
Delete wake up alarms on Wednesday,Wednesday ko wake up एलार्म delete कर्डेन
send a message to Jane that tomorrow 's meeting is canceled .,Jane ko इक message karo की tomorrow 'एस meeting is रद्द .
upcoming hip hop concerts,Aane wale hip hop संगीत कार्यक्रम
What is it like outside ?,बहार कैसा है
Do we have rain today at 4 : 00 P . M . ?,Kya आज शाम 4:00 बाजे बारिश hone wali he ?
is it raining in orlando today,Kya आज ऑरलैंडो me बारिश ho राही he
What music festivals are coming to Portland summer 2018,summer 2018 me Portland me konse music त्योहारों aa रहे he ?
free santa,free सांता
Is it going to be above 21 in degree Fahrenheit near London tomorrow,क्या कल London के पास 21 degree Fahrenheit se ऊपर hone वाला है
Need alarm set for Thursday ' s at noon,Alarm set करे for Thursday ' s at noon
"Can you make my wake up for tomorrow at eight now , not seven .","क्या एपी मुझे कल के लिये 8 बाझे उठा देंगे , not seven"
Can you remind me to submit my paper at 8 pm on Sunday ?,क्या एएपी मुझे Sunday 8 बजे ko मेरा paper submit करने के लिये याद दिलासाक्टे है ?
I want to listen to Deftones .,Me Deftones ko सुन्ना चाहता हू .
what is the traffic driving from Portland to Salem,Portland se Salem तक driving se traffic कितना he
Update tomorrow ' s meeting reminder to 12 pm .,कल के meeting reminder ko 12 बजे के लिये update करेन
erase all reminders,सारे अनुस्मारक मिता den
Send message,message भेजो
can you remind me to mail my sisters card tomorrow,Kya एएपी मुझे remind काड़ा कृपया he to mail my बहन की card tomorrow
Set a reminder for 6 : 30 pm to set up a Facetime chat with Kristen,6:30 बजे ka reminder set करे to set up a Facetime chat with Kristen
play some classical music .,Thode classical music play करे .
Open mic nights in the West End,West End me Open एमआईसी nights
"message Julian , I can ' t believe Christina is going to be late again . She really sucks .",Julian ko message karo की I can ' t believe Christina is going to be late again . She really बेकार .
Set a timer for 45 minutes .,45 मिनट के लिये timer set किजिये .
How much time is left on my alarm ?,Mere alarm par कितना time बच्चा he ?
Create an alarm for July 18th at 5 : 30 am,Alarm create किजिये for July 18th at 5 30 am
play Suicidal Thoughts,Suicidal Thoughts play किजिये
Show me my alarms,Muje mere एलार्म दिखाये
How much of a delay can I expect on the NJ Expressway,Me न्यू जर्सी Expressway par कितना delay expect कर सक्ती हू
Remind me to organise meeting .,Muje remind कराए to आयोजन meeting .
Add 2 minutes to the timer,timer me 2 मिनट add करेन
view chat requests,chat अनुरोध ko view करे
Make an alarm for Friday at 9 : 00 am and 9 : 30 am .,Alarm बनाये for Friday at 9 00 am and 9 30 am .
cancel alarm for 9 am,9 am के alarm ko cancel करेन
Remind me on the 16th of every month to give the dog his heartworm medication .,Muje every month 16th ko remind कराए to give the dog his हार्टवॉर्म medication .
How hot is it this weekend sao paulo in degrees C,Is weekend sao पाउलो me कितनी गरमी है डिग्री C me
what time is the sunrise tomorrow,कल कितने बाझे sunrise है
Will it snow this weekend ?,Kya is weekend ko बर्फ पड़ेगी ?
Is it a good day for golf,क्या ye golf के लिये ye अच्छा din है
tell me what the weather will be like in Manchester next weekend,Muje बताइए की Manchester me next weekend par weather केसा रहेगा
Read me tomorrow ' s weather report,mere लिये कल की weather report पढ़े
Tommorow I need an alarm for 5 pm,Kal sham 5 बाझे के लिये मुझे alarm चाहिए
Wha ' s the weather in Ghana like ?,Ghana mein weather कैसा है ?
Set alarm for 9 : 00 AM this Saturday,Is Saturday subah 9 बाझे के लिये alarm set करे
List my reminders for tomorrow .,कल के लिये mere अनुस्मारक ko list करेन
What is the low tonight ?,आज रात क्या low he ?
"Remove the reminder to call mom back , she just called me","Mom ko call back करने ka reminder remove करे , she just मुझे बुलाया"
tell me all concerts near me from Maroon five,मुझे आस पास मेई Maroon five के सारे संगीत कार्यक्रम बोलिये
Is traffic heavy in Colorado,क्या Colorado me heavy traffic है
What does the traffic look like on the Southside,Southside me traffic कैसी दिख राही है
how far is New York and Seattle in miles,New York and Seattle कितने door he in मील
Do we have a freeze warning for tonight,Kya हमारे पीए आज रात के लिये freeze warning he
Make an alarm for midday every Friday for the next 3 Fridays please .,agley 3 Fridays तक हर Friday for midday के लिये alarm बनाये please
Should I take a jacket this weekend ?,Is weekend क्या मुझे jacket लेनी चाहिए ?
Set a timer for 30 minutes .,30 मिनट के लिये timer set किजिये .
"Is traffic heavy in Danbury , Connecticut today","Kya आज Danbury , Connecticut me traffic heavy he"
is it going to rain in dallas this week,Is week क्या डलास me बारिश hone wali है
Mystery dinner theater in San Francisco for December,December के लिये San Francisco me Mystery dinner theater
Current weather forecast in Russia,Russia me Current weather ka forecast बताइये
Set timer for 45 minutes .,45 मिनट के लिये timer लगाय
Delete all the alarms I have set,सारे एलार्म delete कार्डो jo भी मैंने set किये है
how many lights will I go through to get to nearest gas station,मुझे gas station पहुचने के लिये कितने दीपक se गुजर्ना hoga
Let ' s have a peek at the weather,अई इक नज़र मौसम par डालते हैं है
set me a reminder to email dad tomorrow at 5 pm for his meeting,मुझे Kal sham 5 बाझे dad ko ईमेल भेजने के लिये unke meeting के लिये reminder set करे
What will the temperature be like at 8 pm,8 बजे ko temperature कितना hoga
Remind me to buy an air ticket,मुझे इक air ticket खरीदने के लिये याद दिलायें
what is the record high and low for today ?,Aj ka record high मैं और low record क्या है ?
Remind me to add kids sport schedule to my calendar .,मुझे mere calender me बैचेन ka sport schedule add करने के लिये याद दिलायें
Can I have weather for Mexico ?,Kya मुझे Mexico के लिये weather mil sakta he ?
get the time to reach movenpick hotel through central area .,Central area के जरूर Mövenpick hotel तक पहुचने के लिये time निकलिये
tell me how much time is left,Muje बताइए कितना time बच्चा he
What ' s happening in Phoenix tonight,Aaj रात Phoenix me क्या hone वाला है
Will it be above 96 in degree celsius at Chicago,Kya Chicago me 96 degree सेल्सियस के ऊपर hoga
please set the timer for 30 mins,please 30 मिनट के लिये timer ko set करेन
How much rain are we getting today,Aaj कितनी rain hone wali है
Play some 80s music for me on Pandora,Pandora par कुछ 80s ka music play करिये
Remind me to give my dog his remedy,Muje remind कराए to give my dog his remedy
Cancel timer .,timer ko cancel किजिये
"Repeat the track , please",Please track ko repeat करे
What are the chances of rain tomorrow ?,Kal बारिश hone के क्या अवसरों he ?
"Text Larry , Mo , and Curly",Larry Mo मैं और Curly ko text karo
Please delete my alarm set for tomorrow morning,please कल शुभा के लिये set किये हुवे mere alarm ko delete कर्डेन
What is the weather like in Derbyshire ?,Derbyshire me मौसम कैसा है ?
show alarms on radio,Alarms ko radio पी.ई दिखाये
Remind me to do my laundry at 7 : 00 pm this evening .,Is evening 7:00 बजे ko मुझे mere कपडे धोने के लिये याद दिलायें
traffic from sarasota to st pete,सारासोटा se st pete तक ka traffic
Will it take shorter to get to the White House by bus or taxi ?,White house पोहोचने me काम time bus se jane me लगेगा ya टैक्सी se ?
delete timer,Timer ko delete करे
What will the temperature be tomorrow ?,Kal ka temperature क्या hoga ?
How cold is it boston tomorrow degree c,Kal boston me कितना degree c ठंडा hone वाला he
"Hey Ocean concert this weekend in vancouver , British Columbia","is weekend वैंकूवर , British Columbia मेई Hey Ocean concert है"
"Set a new wake up alarm for midday , 27th August","midday , 27th August के लिये इक नया wake up alarm set करिये"
Move Tuesday ' s alarms to Thursday,Tuesday के एलार्म ko Thursday move करेन
"turn off the alarm , please",alarm ko off कार्डो please
remind me to pay my phone bill,मुझे phone bill pay करने के लिये याद दिलाये
Did my mom text me today ?,क्या मेरी मां ne ए जे मुझे text किआ
start timer countdown from 20 minutes,timer उलटी गिनती ko 20 मिनट se शूरु करे
will it rain at 5 pm,क्या sham 5 बाझे barish होगी
"if i leave now , how long is it to grandmas house",Agar माई अभि निकल जाओं to दादी house पहुंचने me कितनी डीईआर लगेगी
Set an alarm for 7 am,subah 7 बाझे के लिये alarm set करे
Is my 10 minutes up yet ?,क्या mere 10 मिनट अभि बाकी है ?
What will the weather be on Friday .,Friday ko मौसम कैसा hoga .
When was my last reminder ?,Mera last reminder कब tha ?
Any events starting after 9 on Friday,क्या Friday ko 9 बाजे बाद koi आयोजन शूरु hone wale है
Set an alarm for 12 pm today,Alarm set करे for 12 बजे today
How much timer is left on my timer ?,Mere timer me कितना time बच्चा he ?
Create a timer for 30 minutes,30 मिनट के लिये timer बनाये
How far of a drive is Charlotte from Tampa,Charlotte se Tampa drive se कितनी door he
turn timer on,timer ko शूरु karo
Does the 805 south or the 15 south have less traffic,क्या 805 south par कुमारी traffic है ya 25 south par
Set a reminder 1 hour before my 12 : 00 meeting .,मेरी 12:00 बाजे की meeting se 1 घंटा पहले इक reminder ko set करेन
Is there going to be windy today ?,Kyaa आज वाहा windy hone वाला he ?
Send a Facebook message to Grandma and Grandpa,Grandma मैं और Grandpa ko Facebook message भेजे
Please text Jonathan the name of the restaurant that we are going to tonight .,Please Jonathan ko text करे की the name of the restaurant that we are going to tonight .
Tell me the weather forecast for London on the 28th of May .,Muje London के लिये weather forecast बताइए on the 28th of May .
play video game orchestra music,video game orchestra music ko play किजिये
is it cold in dallas tomorrow,Kya कल डलास me थंड he
Set timer for 45 mins,45 मिनट के लिये timer set करे
Give me an extra 30 seconds on my timer,Muje mere timer par extra 30 सेकंड देखिए
Let me know the time at 8 am everyday .,Har din शुभा 8 am ko मुझे time बताओ
display chats,चैट display करे
Remind me to send a birthday card for my sister .,मुझे मेरी बेहन ko birthday card भेजने के लिये याद दिलायें
How much are tickets to the Nashville zoo,Nashville zoo के टिकट ka price क्या है
Play Christmas music,Christmas music play करिये
Can you download the whole album,क्या एएपी पुरा album डाउनलोड करना करसकते है
There is a meeting in the accounting department Thursday morning at 10 remind me Wednesday at 4 PM,Wednesday sham 4 बाझे मुझे याद दिलाये Thursday morning at 10 accounting department मेई meeting है
Move the reminders for August 2nd to August 3rd .,August 2nd के अनुस्मारक ko August 3rd के लिये Badlein
Leaving in 5 min will i make it to the concert ontime if i stop to pick up Monica ?,Agar me 5 minute me निकल्टा हू मैं और Monica ko lene के लिये stop होता हू तो क्या me सहभागी me time se पोहोच जाउंगा ?
chance of rain today,आज बारिश पैडने के क्या chance है
Set a alarm for tonight at 11 pm named Snooze Time,Snooze Time naam ka इक alarm set करे ए जे रात 11 बाझे के लिये
How is traffic in Altanta today,Aaj Atlanta me traffic कैसी है
Remind the sales group the weekly reports are due fridays at 10 am,Sales group ko remind कराए की the weekly रिपोर्टों are due शुक्रवार at 10 am
Set alarm for 1 hour,1 घंटे के लिये alarm set करे
Wine tastings tomorrow night in Charlotte,Charlotte mein कल रात Wine सेवन है
Update me on the current traffic situations in my town,Mujhe mere शहर के current traffic स्थितियों के bare मेई update करे
I need an alarm for every second Tuesday,मुझे every second Tuesday के लिये alarm चाहिए
distance between London and Paris,London मैं और Paris के beech की दूरी
ugly christmas sweater parties in sacramento in december,दिसंबर me सैक्रामेंटो me ugly क्रिसमस sweater दलों
Temperature out there tonight C,Aaj रात bahar ka temperature कितना C he
Send Mario a message to call me back .,Mario ko message भेजे to call me back
Is it around 49 in Fahrenheit around Sao Paulo today,क्या ए जे Sao Paulo के आस पास Fahrenheit मेई 49 के आस पास है
What time is the alarm set for in the morning,Morning ka alarm कितने बाजे set किया गया he
Set an alarm for 6 : 25 am for every Monday through Friday,every Monday through Friday ka subah 6:25 ka alarm set करे
Cancel the last alarm I set,मैंने jo last alarm set किया use cancel कार्डो
What time is left on my timer,Mere timer me कितना time बच्चा he
What time should I leave to get to Jamie ' s at 5 : 00,Muje Jamie के घर 5:00 बाजे तक पोहोचने के लिये लिट्ने बाजे निकलना चाहिए
Remind me to not discount things on food,मुझे खाने के लिये चीज discount नही करने के लिये याद दिलायें
How hot ' s it going to be today ?,ए जे कितनी गरमी hone wali है
add 5 more minutes to the timer,timer मेई 5 minuter मैं और add करे
Reroute to avoid traffic,traffic avoid करने के लिये Rerout करे
Remind me to do my assignment at 7 pm on Tuesday,मुझे Tuesday sham 7 बाझे मेरा assignment करने के लिये याद दिलाये
bring up my chats,Meri chat लाईये
What is the weather for Montreal Quebec ?,Montreal Quebec ka weather क्या he ?
Set alarm for 15 minutes from now .,Abhi se 15 मिनट के लिये alarm set करे .
"message my mum , see you soon !","Meri mum ko message करे की , see you soon !"
What is the weather forecast for the early part of next week ?,Weather ka forecast क्या he for the early part of next week ?
Is there any road construction delays I should be aware of,क्या koi road construction देरी है जिसके बेरे mein मुझे जानकारी होनी चाहिए
Is there anything fun to do this weekend,क्या is weekend कुछ मजेदार करने के लिये है
i need a reminder to edge the yard every saturday until november 1st,मुझे हर शनिवार नवंबर 1st तक reminder चाहिए to edge the yard
how many accidents are there on the freeway,freeway par कितने दुर्घटनाओं hue he
Make alarms for tomorrow at 9 am and 6 pm,कल 9 am मैं और 6 बजे के लिये एलार्म बनायें
add 40 minutes to my sleep timer,mere sleep timer मेई 40 मिनट add करे
Is it going to rain today ?,क्या ए जे barish hone wali है ?
Add another 5 minutes,मैं और 5 मिनट add करे
Make an alarm that repeats every Thursday mornings at 1 am .,every Thursday mornings ko 1 am ka repeat alarm बनाये
If I ' m traveling at 60mph how long will it take me to drive 44 miles,Agar माई 60mph se travel कर राहा hoon तो मुझे 44 मील drive करने मेई कितनी डीईआर लगेगी
Set an alarm and a reminder to pick up George at 9 am .,subah 9 बाझे के लिये George ko pick करने ka alarm मैं और reminder set करे
Play music like Daft Punk,Daft Punk के जैसा music play करिये
What are my alarms for today ?,Mere आज के एलार्म क्या he ?
When ' s the time up,time कब ख़तम hoga
Kids events at public libraries,public पुस्तकालय me बच्चे आयोजन ho राही he
Are the roads in good conditions in Sioux Falls,क्या Sioux Falls मेई सड़कें के हैलट ache है
Please can you describe the weather in Spain ?,please क्या एएपी Spain ka मौसम describe कर कृपया है ?
Tell Sarah,Sarah ko बताइए
what is the traffic driving from Los Angeles to Moreno Valley,Los Angeles se Moreno Valley तक driving se traffic कितनी he
Can you play some Christmas music,क्या एएपी थोडा Christmas music बाजा कृपया है
Start timer now .,timer ko अभि शूरु karo
Set weekly reminder to take vitamin D pill every Monday .,Weekly reminder ko set किजिये to take vitamin D pill every Monday .
timer off please,timer ko band karo
Will the sun be out at 3 pm,क्या सूरज 3 बजे ko निकलेगा
tell me about weather for tomorrow,Muje कल के लिये weather बताइए
set a timer for 2 minutes please,Please timer ko 2 मिनट के लिये set करे
How cold will it get overnight tonight ?,Aaj रात कितनी थंड hone wali he ?
Is it ok to wear shorts today ?,Kya आज shorts पेहना theek है ?
Any construction that might affect my commute,क्या mere commute ko koi construction affect कर sakta है
What ' s the temperature of Ballarat ?,Ballarat ka temperature क्या he ?
Can I listen to the first song one more time,Kya me first song इक baar मैं और sun sakta हू
Is it cold enough for a winter coat today ?,क्या आज winter coat पेहेन जितनी सारडी है ?
set an alarm for every 10 minutes for the next hour,Next hour के लिये alarm set करे for every 10 मिनट
Change my alarm,mere alarm ko बादल do
what is the best way to get from vegas to saint george if i want to avoid the flooding on the 515 ?,agar मुझे 515 की flooding ko avoid कर्ण है तो वेगास se st जॉर्ज पहुचने ka सबसे best way कौन्सा है
How much time is left,Kitna time बच्चा he
Give me a new alarm that goes off in 4 hours .,मुझे इक नया alarm den jo 4 घंटे me band होजाये
Is it windy today ?,क्या ए जे windy है
Cancel alarms tomorrow,कल एलार्म cancel कार्डो
Cancel my alarms created of next week .,Next week ka मेरा alarm cancel करे .
HIGH AND LOW TUESDAY,मंगलवार high and low he
